basepolity,period_start,latitude,longitude,polity_territory,temperature,polity_population,cc_infra,kinship1
EgOldK2,-2200,25.61833,32.210075,100000,22.998652,1500000,.8888889,-.0061563049
EgNaqa1,-3700,25.61833,32.210075,5000,23.002024,8817,.40000001,-.45659897
EgDyn1,-3000,25.61833,32.210075,50000,23.00247,900000,.77777779,-.28212899
EgMidKg,-2000,25.61833,32.210075,238000,23.003618,1500000,.8888889,-.1757739
EgRegns,-2000,25.61833,32.210075,20000,23.003618,109930,.8888889,.14378153
EgIntOc,-300,25.61833,32.210075,500000,23.004684,2500000,1,.14806905
EgPtol1,-300,25.61833,32.210075,1000000,23.004684,7000000,1,.59112388
EgTulIk,900,25.61833,32.210075,800000,23.009495,6500000,1,.6364994
PgOrokL,1900,-9.1303329,148.35527,22800,23.012402,9000,.44444445,-.64490151
PgOrokE,1900,-9.1303329,148.35527,2721,23.012402,8265,.11111111,-.59400409
OroPreColonial,1900,-9.1303329,148.35527,2715,23.012402,8037,.11111111,-.48176232
OroEarlyColonial,1900,-9.1303329,148.35527,22800,23.012402,9000,.55555558,-.37690148
PgOrokL,2000,-9.1303329,148.35527,22800,23.012402,9000,.44444445,-.64501405
OroEarlyColonial,2000,-9.1303329,148.35527,22800,23.012402,9000,.55555558,-.37690148
EgOldK1,-2300,25.61833,32.210075,250000,23.022175,1000000,.8888889,-.14667505
EgOldK2,-2300,25.61833,32.210075,100000,23.022175,1500000,.8888889,-.0061563049
EgPtol2,0,25.61833,32.210075,107000,23.023848,2500000,1,.4923923
SdKusht,-700,25.61833,32.210075,600000,23.034193,2500000,.89999998,-.17657292
EgThebL,-700,25.61833,32.210075,190000,23.034193,1325295,.8888889,-.015646212
EgHermp,-700,25.61833,32.210075,140830,23.034193,2534200,.80060297,.11637001
EgNKThu,-1500,25.61833,32.210075,650000,23.036272,4500000,.8888889,.034620136
EgThebH,-1500,25.61833,32.210075,10000,23.036272,335464,.80000001,.047274109
TnFatim,1100,25.61833,32.210075,631000,23.036467,3500000,1,.6364994
EgDyn1,-2900,25.61833,32.210075,50000,23.037212,900000,.77777779,-.28212899
EgNKRam,-1300,25.61833,32.210075,484739,23.054022,2000000,.8888889,-.015823783
EgNKThu,-1300,25.61833,32.210075,1000000,23.054022,4500000,.8888889,.02282631
TnFatim,1000,25.61833,32.210075,1400000,23.057285,13000000,1,.6364994
EgSaite,-500,25.61833,32.210075,300000,23.066196,1800000,.8888889,.13381074
EgMidKg,-1800,25.61833,32.210075,450000,23.066874,1500000,.8888889,-.18105617
SyCalUm,800,28.497017,68.229736,9000000,23.068592,23000000,1,.6364994
EgDyn2,-2900,25.61833,32.210075,100000,23.071955,1100000,.77777779,-.22722369
EgMidKg,-1700,25.61833,32.210075,450000,23.077351,1500000,.8888889,-.18105617
EgThebH,-1700,25.61833,32.210075,10000,23.077351,395101,.80000001,.045505058
EgBadar,-3900,25.61833,32.210075,1107,23.091267,14529,.2888889,-.39997554
EgDyn2,-2600,25.61833,32.210075,300000,23.094261,1100000,.77777779,-.24916989
EgDyn2,-2800,25.61833,32.210075,267000,23.101669,1100000,.77777779,-.24667932
EgThebH,-1600,25.61833,32.210075,10000,23.104872,349799,.80000001,.046848066
EgMamBu,1600,25.61833,32.210075,2100000,23.113411,6000000,.8888889,.6364994
EgOldK1,-2600,25.61833,32.210075,250000,23.131504,1000000,.8888889,-.14667505
EgThebL,-800,25.61833,32.210075,190000,23.134132,1913896,.8888889,-.019081308
EgAyyub,1200,25.61833,32.210075,1500000,23.163109,9000000,1,.6364994
TnFatim,1200,25.61833,32.210075,631000,23.163109,3500000,1,.6364994
EgMamBu,1500,25.61833,32.210075,2100000,23.198689,6000000,.8888889,.6364994
EgMamCP,1500,25.61833,32.210075,2100000,23.198689,4800000,.8888889,.6364994
EgNKRam,-1000,25.61833,32.210075,567000,23.199434,2000000,.8888889,-.01915052
EgThebL,-1000,25.61833,32.210075,190000,23.199434,1591688,.8888889,-.016681492
EgDyn2,-2700,25.61833,32.210075,300000,23.220808,1100000,.77777779,-.24916989
SyCalUm,700,28.497017,68.229736,9000000,23.236118,23000000,1,.6364994
EgNKRam,-1100,25.61833,32.210075,567000,23.253719,2000000,.8888889,-.01915052
EgMamCP,1400,25.61833,32.210075,2100000,23.285152,4800000,.8888889,.6364994
EgMamBh,1400,25.61833,32.210075,2100000,23.285152,6000000,.8888889,.6364994
