Basepolity,Period_start,Latitude,Longitude,Polity_territory,Temperature,Polity_population,CC_Infra,Kinship1
USKameh,1800,19.655365,-155.58328,14988,25.244385,60000,0.2888889,0.53682315
USHawai,1900,19.655365,-155.58328,16624,25.316906,71019,0.3888889,-0.41134626
USKameh,1900,19.655365,-155.58328,14988,25.316906,60000,0.2888889,0.53686327
KhFunaE,300,13.039086,104.4823,257034,27.99538,60397,1,0.15376687
KhFunaE,400,13.039086,104.4823,257034,27.947287,63522,1,0.15370388
KhFunaE,500,13.039086,104.4823,257034,27.928787,66233,1,0.15365128
KhChenl,600,13.039086,104.4823,531000,27.855419,1376887,0.89999998,-0.37405837
KhFunaL,600,13.039086,104.4823,264200,27.855419,120000,0.89999998,0.029485477
KhFunaE,600,13.039086,104.4823,257034,27.855419,77317,1,0.15346608
KhChenl,700,13.039086,104.4823,531000,27.920261,762098,0.89999998,-0.37843689
KhFunaL,700,13.039086,104.4823,264200,27.920261,120000,0.89999998,0.029485477
KhChenl,800,13.039086,104.4823,531000,27.947977,955600,0.89999998,-0.37655139
KhAngkE,800,13.039086,104.4823,916847,27.947977,2295104,1,-0.23484509
KhChenl,900,13.039086,104.4823,531000,27.983023,1437033,0.89999998,-0.37382427
KhAngkE,900,13.039086,104.4823,916847,27.983023,2364823,1,-0.24604037
KhAngkE,1000,13.039086,104.4823,916847,27.971279,2356915,1,-0.24605784
KhAngkE,1100,13.039086,104.4823,916847,28.039234,2272549,1,-0.24625115
KhAngkC,1100,13.039086,104.4823,939245,28.039234,1500000,1,-0.24252529
KhAngkC,1200,13.039086,104.4823,939245,27.991419,1500000,1,-0.24252529
KhAngkL,1300,13.039086,104.4823,851329,28.029457,1500000,1,-0.31608137
KhAngkC,1300,13.039086,104.4823,939245,28.029457,1500000,1,-0.24252529
KhAngkL,1400,13.039086,104.4823,790314,28.058903,1500000,1,-0.31608137
KhAngkC,1400,13.039086,104.4823,939245,28.058903,1500000,1,-0.24252529
KhAngkL,1500,13.039086,104.4823,722493,28.116488,1500000,1,-0.31608137
KhCambd,1500,13.039086,104.4823,279646,28.116488,750000,1,-0.31608137
ThAyuth,1600,13.039086,104.4823,302924,27.740383,1065905,0.77777779,-0.31608137
KhCambd,1600,13.039086,104.4823,279646,27.740383,750000,1,-0.31608137
ThAyuth,1700,13.039086,104.4823,490948,27.713371,1321303,0.77777779,-0.31608137
ThRattn,1800,13.039086,104.4823,513120,27.814402,1000000,0.77777779,-0.31608137
ThAyuth,1800,13.039086,104.4823,474748,27.814402,1211907,0.77777779,-0.31608137
ThRattn,1900,13.039086,104.4823,513120,28.011118,4000000,0.8888889,-0.31608137
IdMedng,800,-7.3124571,110.20135,100000,27.956474,250000,0.77777779,0.018235881
IdMedng,900,-7.3124571,110.20135,100000,27.963436,250000,0.77777779,-0.001503119
IdMedng,1000,-7.3124571,110.20135,100000,27.954988,250000,0.77777779,-0.001503119
IdKahur,1100,-7.3124571,110.20135,175000,28.022106,1506220,0.55555558,-0.1766877
IdKedir,1100,-7.3124571,110.20135,50000,28.022106,200000,0.78888887,-0.014660583
IdMedng,1100,-7.3124571,110.20135,100000,28.022106,250000,0.77777779,-0.001503119
IdKedir,1200,-7.3124571,110.20135,50000,27.982491,250000,0.78888887,-0.012985691
IdSingh,1300,-7.3124571,110.20135,326000,27.992868,3429892,0.11111111,-0.20353037
IdKedir,1300,-7.3124571,110.20135,50000,27.992868,250000,0.78888887,-0.013140614
IdMajap,1300,-7.3124571,110.20135,500000,27.992868,5000000,1,0.13525999
IdMajap,1400,-7.3124571,110.20135,500000,27.985607,5000000,1,0.13525999
IdMajap,1500,-7.3124571,110.20135,500000,27.999477,5000000,1,0.13525999
IdMajap,1600,-7.3124571,110.20135,500000,27.94079,5000000,1,0.13525999
IdDemak,1600,-7.3124571,110.20135,91602,27.94079,1567873,0.11111111,0.54130274
IdMatrm,1600,-7.3124571,110.20135,90000,27.94079,3000000,0.8888889,0.54130274
IdMatrm,1700,-7.3124571,110.20135,90000,27.927706,3000000,0.8888889,0.54130274
IdMatrm,1800,-7.3124571,110.20135,90000,27.964075,3000000,0.8888889,0.54130274
FmTrukE,1800,7.3660812,151.82166,1835,28.071459,8383,0.11111111,0.014354171
FmTrukE,1900,7.3660812,151.82166,2856,28.161144,5792,0.11111111,0.013171501
FmTrukL,1900,7.3660812,151.82166,127,28.161144,10244,0.44444445,0.079957165
FmTrukL,2000,7.3660812,151.82166,127,28.161144,9200,0.44444445,0.1863905
PeInca,1400,-13.517126,-71.960693,500000,12.395381,679058,0.78888887,-0.84109187
PeInca,1500,-13.517126,-71.960693,500000,12.370272,883369,0.78888887,-0.84109187
PeInca,1600,-13.517126,-71.960693,500000,12.494948,1138055,0.78888887,-0.84109187
EsHabsb,1600,-13.517126,-71.960693,4046442,12.494948,29000000,1,-0.41134626
EsHabsb,1700,-13.517126,-71.960693,7100000,12.479432,29000000,1,-0.41134626
InKadam,-500,15.157869,76.775902,50000,25.563372,700000,0.56666666,-0.088987589
InKadam,-400,15.157869,76.775902,50000,25.38422,650000,0.56666666,-0.08830782
InMaury,-300,15.157869,76.775902,4000000,25.372211,100000000,1,-0.31608137
InKadam,-300,15.157869,76.775902,50000,25.372211,650000,0.56666666,-0.088100761
InMaury,-200,15.157869,76.775902,4000000,25.380653,100000000,1,-0.31608137
InDecKg,-200,15.157869,76.775902,62786,25.380653,640346,0.11111111,-0.31608137
InKadam,-200,15.157869,76.775902,50000,25.380653,650000,0.56666666,-0.087915741
InMaury,-100,15.157869,76.775902,4000000,25.341614,100000000,1,-0.31608137
InDecKg,-100,15.157869,76.775902,43171,25.341614,658503,0.11111111,-0.31608137
InKadam,-100,15.157869,76.775902,50000,25.341614,650000,0.56666666,-0.087259807
InSataL,-100,15.157869,76.775902,1200000,25.341614,7000000,0.67777777,0.052004892
InKadam,0,15.157869,76.775902,50000,25.391056,650000,0.56666666,-0.087040089
InSataL,0,15.157869,76.775902,1200000,25.391056,7250000,0.67777777,0.050999045
InKadam,100,15.157869,76.775902,50000,25.305901,650000,0.56666666,-0.086990856
InSataL,100,15.157869,76.775902,1400000,25.305901,8000000,0.67777777,0.046931777
InKadam,200,15.157869,76.775902,50000,25.359974,650000,0.56666666,-0.086818479
InSataL,200,15.157869,76.775902,1400000,25.359974,8000000,0.67777777,0.046931777
InPallE,300,15.157869,76.775902,49495,25.365032,189590,0.66184908,-0.16339965
InKadam,300,15.157869,76.775902,50000,25.365032,650000,0.56666666,-0.086761877
InVakat,300,15.157869,76.775902,900000,25.365032,6000000,0.12222222,0.023091597
InPallE,400,15.157869,76.775902,49014,25.504938,211552,0.63896936,-0.16255344
InKadam,400,15.157869,76.775902,50000,25.504938,650000,0.56666666,-0.086701229
InVakat,400,15.157869,76.775902,900000,25.504938,6000000,0.12222222,0.023441251
InKadam,500,15.157869,76.775902,50000,25.368513,650000,0.56666666,-0.086714134
InVakat,500,15.157869,76.775902,900000,25.368513,6000000,0.12222222,0.023642395
InKadam,600,15.157869,76.775902,50000,25.104322,650000,0.56666666,-0.087196589
InChaBd,600,15.157869,76.775902,750000,25.104322,550000,0.67777777,-0.076856904
InVakat,600,15.157869,76.775902,900000,25.104322,6000000,0.12222222,0.023004789
InChaBd,700,15.157869,76.775902,750000,25.1679,6000000,0.67777777,-0.089452855
InRasht,800,15.157869,76.775902,600000,25.293121,5000000,0.67777777,-0.14727244
InChaBd,800,15.157869,76.775902,750000,25.293121,6000000,0.67777777,-0.089452855
InRasht,900,15.157869,76.775902,600000,25.333771,5500000,0.67777777,-0.14742962
InRasht,1000,15.157869,76.775902,600000,25.426458,5500000,0.67777777,-0.14742962
InChaKl,1000,15.157869,76.775902,600000,25.519144,7000000,0.56666666,-0.1155506
InChaKl,1100,15.157869,76.775902,600000,25.40078,7500000,0.56666666,-0.098291256
InSeuna,1200,15.157869,76.775902,174572,25.399927,4261362,0.11111111,-0.22006257
InKalch,1200,15.157869,76.775902,654834,25.399927,6757400,0.76542932,-0.17704196
InChaKl,1200,15.157869,76.775902,600000,25.399927,7500000,0.56666666,-0.11358113
InHoysa,1200,15.157869,76.775902,100000,25.399927,864162,0.55555558,0.24009153
InSeuna,1300,15.157869,76.775902,175523,25.40078,4725076,0.11111111,-0.22241859
InHoysa,1300,15.157869,76.775902,100000,25.40078,909260,0.55555558,0.23995507
InKampi,1300,15.157869,76.775902,10000,25.40078,182539,0.44444445,0.2461482
InSeuna,1400,15.157869,76.775902,149967,25.420301,5709801,0.11111111,-0.21578245
InKampi,1400,15.157869,76.775902,10000,25.420301,270759,0.44444445,0.23624273
InHoysa,1400,15.157869,76.775902,100000,25.420301,1273332,0.55555558,0.24327813
InVijay,1400,15.157869,76.775902,350000,25.420301,25000000,0.8888889,0.3747535
InVijay,1500,15.157869,76.775902,350000,25.555216,25000000,0.8888889,0.3667151
InVijay,1600,15.157869,76.775902,350000,25.197268,25000000,0.8888889,0.3667151
InVijay,1700,15.157869,76.775902,350000,25.327797,25000000,0.8888889,0.3667151
UsIroqL,1800,42.634872,-76.851311,100000,7.573875,12000,0,0.54130274
UsIroqL,1900,42.634872,-76.851311,100000,7.8219314,12000,0.11111111,0.52344453
InGaroE,1800,25.504038,90.444069,1817,21.015366,2000,0.11111111,-0.84109187
InGaroE,1900,25.504038,90.444069,1647,21.089079,2000,0.11111111,-0.84109187
InGaroL,1900,25.504038,90.444069,8000,21.089079,138000,0.11111111,-0.84109187
InGaroL,2000,25.504038,90.444069,8000,21.089079,138000,0.11111111,-0.84109187
GhAshnE,1500,5.3210092,-1.3289469,38250,26.877375,217386,0.34444445,0.54130274
GhAshnE,1600,5.3210092,-1.3289469,38810,26.67244,246212,0.34444445,0.54130274
GhAshnE,1700,5.3210092,-1.3289469,28674,26.688742,361478,0.34444445,0.54130274
